timestep,value,mean_count,sd_count,new_class,area,scenario
2010,1,738488,0,Agriculture,598175.28,50
2010,2,103477,0,Urban,83816.37000000001,50
2010,4,76245,0,Roads,61758.450000000004,50
2010,5,24666,0,Water,19979.460000000003,50
2010,6,25524,0,Wetlands,20674.440000000002,50
2010,11,44121,0,decid_1,35738.01,50
2010,12,257125,0,decid_2,208271.25,50
2010,13,4486,0,decid_3,3633.6600000000003,50
2010,21,9130,0,mixt_1,7395.3,50
2010,22,82930,0,mixt_2,67173.3,50
2010,23,3980,0,mixt_3,3223.8,50
2010,31,1183,0,conif_1,958.23,50
2010,32,17296,0,conif_2,14009.76,50
2010,33,4067,0,conif_3,3294.2700000000004,50
2100,1,623642.7,380.80880300282513,Agriculture,505150.587,50
2100,2,204925.2,242.110993829965,Urban,165989.412,50
2100,4,76245,0,Roads,61758.450000000004,50
2100,5,24666,0,Water,19979.460000000003,50
2100,6,25524,0,Wetlands,20674.440000000002,50
2100,11,34419.3,111.00955914795004,decid_1,27879.633000000005,50
2100,12,301914.2,513.9104548027366,decid_2,244550.50200000004,50
2100,13,3633.4,15.903877933803855,decid_3,2943.054,50
2100,21,6796.9,25.62312323750648,mixt_1,5505.4890000000005,50
2100,22,68770,187.42228018864543,mixt_2,55703.700000000004,50
2100,23,3432.9,16.68299200450034,mixt_3,2780.6490000000003,50
2100,31,814.7,14.514743462348127,conif_1,659.907,50
2100,32,14304.8,49.40715197890552,conif_2,11586.888,50
2100,33,3628.9,14.03527302509249,conif_3,2939.409,50
2010,1,738488,0,Agriculture,598175.28,51
2010,2,103477,0,Urban,83816.37000000001,51
2010,4,76245,0,Roads,61758.450000000004,51
2010,5,24666,0,Water,19979.460000000003,51
2010,6,25524,0,Wetlands,20674.440000000002,51
2010,11,44121,0,decid_1,35738.01,51
2010,12,257125,0,decid_2,208271.25,51
2010,13,4486,0,decid_3,3633.6600000000003,51
2010,21,9130,0,mixt_1,7395.3,51
2010,22,82930,0,mixt_2,67173.3,51
2010,23,3980,0,mixt_3,3223.8,51
2010,31,1183,0,conif_1,958.23,51
2010,32,17296,0,conif_2,14009.76,51
2010,33,4067,0,conif_3,3294.2700000000004,51
2100,1,623825.5,500.26243112990204,Agriculture,505298.655,51
2100,2,204810.4,253.99790025378817,Urban,165896.424,51
2100,4,76245,0,Roads,61758.450000000004,51
2100,5,24666,0,Water,19979.460000000003,51
2100,6,25524,0,Wetlands,20674.440000000002,51
2100,11,8934.3,51.41994857164981,decid_1,7236.782999999999,51
2100,12,330620.5,655.1649919422333,decid_2,267802.60500000004,51
2100,13,5791.1,119.23781093074275,decid_3,4690.791,51
2100,21,2216.7,15.063200191194433,mixt_1,1795.527,51
2100,22,76692.3,324.67900387237165,mixt_2,62120.763000000006,51
2100,23,3597.2,69.9393387952096,mixt_3,2913.732,51
2100,31,423.5,10.617072205755324,conif_1,343.035,51
2100,32,6577.5,67.90393541205432,conif_2,5327.7750000000005,51
2100,33,2794,51.875920339894805,conif_3,2263.1400000000003,51
2010,1,738488,0,Agriculture,598175.28,52
2010,2,103477,0,Urban,83816.37000000001,52
2010,4,76245,0,Roads,61758.450000000004,52
2010,5,24666,0,Water,19979.460000000003,52
2010,6,25524,0,Wetlands,20674.440000000002,52
2010,11,44121,0,decid_1,35738.01,52
2010,12,257125,0,decid_2,208271.25,52
2010,13,4486,0,decid_3,3633.6600000000003,52
2010,21,9130,0,mixt_1,7395.3,52
2010,22,82930,0,mixt_2,67173.3,52
2010,23,3980,0,mixt_3,3223.8,52
2010,31,1183,0,conif_1,958.23,52
2010,32,17296,0,conif_2,14009.76,52
2010,33,4067,0,conif_3,3294.2700000000004,52
2100,1,623658.8,369.40637063627736,Agriculture,505163.6280000001,52
2100,2,205011.7,286.4538163280232,Urban,166059.477,52
2100,4,76245,0,Roads,61758.450000000004,52
2100,5,24666,0,Water,19979.460000000003,52
2100,6,25524,0,Wetlands,20674.440000000002,52
2100,11,8561,77.78745971484663,decid_1,6934.410000000001,52
2100,12,339820.9,552.102335522038,decid_2,275254.92900000006,52
2100,13,12478.8,179.20863074454127,decid_3,10107.828,52
2100,21,1979.1,27.19660926578083,mixt_1,1603.0710000000001,52
2100,22,59932.8,163.42024898334287,mixt_2,48545.56800000001,52
2100,23,4307.8,75.20017730475551,mixt_3,3489.318,52
2100,31,484.5,13.091557924436987,conif_1,392.44500000000005,52
2100,32,6788.4,87.71316890866501,conif_2,5498.604,52
2100,33,3259.2,60.851002000332294,conif_3,2639.952,52
